Date,Open,High,Low,Close,Volume
06/22/2026,"545.50","562.99","535.71","551.63","25,983,250"
06/18/2026,"531.58","539.69","526.32","537.37","43,805,648"
06/17/2026,"529.66","532.50","507.30","512.48","27,085,340"
06/16/2026,"546.89","548.95","507.25","507.29","28,411,689"
06/15/2026,"535.75","558.37","530.50","547.26","33,482,430"
06/12/2026,"499.69","521.71","494.00","511.57","31,618,461"
06/11/2026,"461.60","490.46","458.02","488.45","30,463,080"
06/10/2026,"467.97","477.45","448.33","452.40","27,777,400"
06/09/2026,"502.75","505.00","437.23","475.51","37,799,809"
06/08/2026,"485.00","494.97","477.71","490.33","25,158,811"
06/05/2026,"499.53","505.62","463.95","466.38","46,900,609"
06/04/2026,"514.75","532.19","499.87","523.20","29,110,000"
06/03/2026,"533.75","546.44","524.30","542.52","29,411,150"
06/02/2026,"506.30","522.49","501.22","521.54","24,293,211"
06/01/2026,"500.16","517.50","486.80","510.13","33,309,250"
05/29/2026,"520.80","522.00","503.43","516.10","30,803,240"
05/28/2026,"499.00","527.20","493.52","518.09","31,438,520"
05/27/2026,"508.00","510.21","486.66","495.54","27,589,330"
05/26/2026,"484.74","506.96","480.23","503.89","38,473,781"
05/22/2026,"469.84","481.41","461.71","467.51","34,758,602"
05/21/2026,"441.99","451.20","431.60","449.59","27,251,980"
05/20/2026,"428.04","449.39","426.05","447.58","36,137,500"
05/19/2026,"412.60","428.75","393.36","414.05","38,756,910"
05/18/2026,"429.50","438.80","410.71","420.99","28,432,131"
05/15/2026,"433.34","439.00","423.36","424.10","29,131,580"
05/14/2026,"440.60","453.31","435.68","449.70","26,113,570"
05/13/2026,"457.04","459.50","432.65","445.50","30,423,350"
05/12/2026,"449.25","458.80","426.11","448.29","39,140,059"
05/11/2026,"460.55","469.22","450.88","458.79","46,085,391"
05/08/2026,"418.59","456.29","418.29","455.19","58,134,871"
05/07/2026,"417.07","421.71","401.08","408.46","44,885,480"
05/06/2026,"409.49","430.60","402.04","421.39","87,732,172"
05/05/2026,"351.51","359.57","344.88","355.26","64,235,121"
05/04/2026,"360.31","361.85","338.70","341.54","42,000,238"
05/01/2026,"351.87","362.79","349.25","360.54","34,279,168"
04/30/2026,"341.36","354.96","332.60","354.49","42,115,328"
04/29/2026,"326.58","340.17","318.86","337.11","44,704,367"
04/28/2026,"311.86","327.50","310.00","323.21","43,002,480"
04/27/2026,"346.32","349.21","328.81","334.63","50,585,312"
04/24/2026,"336.76","352.99","334.54","347.81","81,616,656"
04/23/2026,"302.01","310.22","299.76","305.33","45,619,727"
04/22/2026,"291.22","304.25","286.14","303.46","49,054,238"
04/21/2026,"277.33","286.20","276.62","284.49","38,950,879"
04/20/2026,"280.60","287.61","272.00","274.95","34,833,859"
04/17/2026,"281.00","281.05","274.14","278.39","35,519,848"
04/16/2026,"264.99","279.34","261.51","278.26","64,850,770"
04/15/2026,"254.96","258.18","251.85","258.12","24,695,180"
04/14/2026,"249.79","255.46","245.70","255.07","25,733,230"
04/13/2026,"245.03","247.33","242.03","246.83","22,781,789"
04/10/2026,"239.00","249.58","238.96","245.04","36,477,238"
04/09/2026,"233.01","237.10","230.91","236.64","27,126,211"
04/08/2026,"232.12","234.00","227.09","231.82","35,496,359"
04/07/2026,"218.26","222.10","215.38","221.53","26,483,010"
04/06/2026,"219.28","226.31","217.73","220.18","30,786,420"
04/02/2026,"204.05","217.78","200.62","217.50","38,463,480"
04/01/2026,"207.59","213.83","205.84","210.21","40,835,793"
03/31/2026,"198.05","204.00","196.41","203.43","42,318,754"
03/30/2026,"204.95","208.43","192.87","196.04","41,053,301"
03/27/2026,"201.77","203.27","197.69","201.99","29,206,580"
03/26/2026,"217.98","221.00","203.43","203.77","49,212,980"
03/25/2026,"211.51","221.33","211.51","220.27","48,518,273"
03/24/2026,"201.39","206.43","200.13","205.37","27,258,850"
03/23/2026,"206.40","209.11","201.71","202.68","31,857,750"
03/20/2026,"204.89","206.30","198.26","201.33","37,265,102"
03/19/2026,"195.03","205.88","192.83","205.27","32,245,330"
03/18/2026,"196.00","202.86","195.75","199.46","28,569,141"
03/17/2026,"196.68","199.21","195.26","196.31","22,779,680"
03/16/2026,"194.98","200.17","194.80","196.58","30,285,170"
03/13/2026,"198.11","199.68","192.27","193.39","27,561,891"
03/12/2026,"202.83","203.62","196.67","197.74","28,886,910"
03/11/2026,"205.11","209.21","203.63","204.83","23,076,369"
03/10/2026,"202.51","206.59","202.20","203.23","29,139,160"
03/09/2026,"189.36","202.97","189.02","202.68","38,877,219"
03/06/2026,"195.27","200.24","191.25","192.43","33,913,781"
03/05/2026,"197.77","203.79","194.88","199.45","36,000,660"
03/04/2026,"192.12","202.44","189.86","202.07","40,912,559"
03/03/2026,"191.46","193.64","188.22","190.95","37,785,699"
03/02/2026,"193.85","198.74","190.00","198.62","34,120,160"
02/27/2026,"200.11","201.89","197.74","200.21","31,312,400"
02/26/2026,"208.80","209.79","201.46","203.68","35,020,473"
02/25/2026,"214.82","216.70","210.33","210.86","44,588,059"
02/24/2026,"211.63","216.71","206.50","213.84","81,367,023"
02/23/2026,"198.09","199.38","194.15","196.60","28,187,910"
02/20/2026,"200.12","204.87","198.56","200.15","36,317,262"
02/19/2026,"200.11","204.10","198.29","203.37","25,842,270"
02/18/2026,"198.41","203.20","195.00","200.12","35,664,090"
02/17/2026,"202.15","205.30","194.83","203.08","33,712,078"
02/13/2026,"204.02","210.05","203.88","207.32","26,123,881"
02/12/2026,"215.83","218.46","205.14","205.94","32,180,961"
02/11/2026,"217.88","219.65","209.21","213.58","33,384,738"
02/10/2026,"215.14","219.39","213.13","213.57","25,326,689"
02/09/2026,"206.90","217.60","204.15","216.00","38,810,840"
02/06/2026,"197.13","209.27","196.43","208.44","54,504,473"
02/05/2026,"201.86","204.04","190.72","192.50","62,196,422"
02/04/2026,"215.00","218.58","199.15","200.19","107,173,297"
02/03/2026,"251.55","252.65","237.04","242.11","53,097,047"
