Date,Open,High,Low,Close,Volume
06/22/2026,"211.44","213.99","207.72","208.65","122,041,398"
06/18/2026,"207.33","211.39","206.50","210.69","241,272,000"
06/17/2026,"208.53","209.21","203.08","204.65","128,363,508"
06/16/2026,"211.18","211.49","207.29","207.41","125,694,094"
06/15/2026,"208.92","212.71","208.34","212.45","149,936,703"
06/12/2026,"204.86","207.07","203.44","205.19","112,345,297"
06/11/2026,"201.49","205.66","199.54","204.87","158,643,203"
06/10/2026,"204.43","207.22","199.92","200.42","161,746,594"
06/09/2026,"210.62","211.40","199.34","208.19","180,962,500"
06/08/2026,"210.18","210.47","206.00","208.64","138,372,797"
06/05/2026,"214.53","214.87","204.33","205.10","219,655,500"
06/04/2026,"213.91","221.60","210.97","218.66","169,022,203"
06/03/2026,"221.72","222.82","214.51","214.75","160,907,016"
06/02/2026,"227.18","232.28","221.35","222.82","193,362,891"
06/01/2026,"215.73","224.87","215.70","224.36","212,850,703"
05/29/2026,"214.58","217.86","211.13","211.14","289,410,594"
05/28/2026,"211.28","215.52","211.22","214.25","143,996,000"
05/27/2026,"214.12","214.15","208.78","212.60","167,601,203"
05/26/2026,"216.54","218.18","212.00","214.86","187,202,594"
05/22/2026,"220.90","221.01","214.80","215.33","169,275,703"
05/21/2026,"222.29","227.40","217.93","219.51","203,381,797"
05/20/2026,"223.18","226.13","220.50","223.47","184,201,594"
05/19/2026,"219.62","224.48","217.91","220.61","140,948,188"
05/18/2026,"229.87","230.00","218.37","222.32","146,280,891"
05/15/2026,"229.76","231.50","224.24","225.32","180,977,594"
05/14/2026,"229.85","236.54","229.30","235.74","180,782,891"
05/13/2026,"224.93","227.84","221.57","225.83","150,405,406"
05/12/2026,"218.55","223.75","214.92","220.78","159,176,609"
05/11/2026,"214.04","222.30","213.89","219.44","160,685,797"
05/08/2026,"213.03","217.80","212.89","215.20","136,421,406"
05/07/2026,"208.34","214.20","206.50","211.50","168,307,906"
05/06/2026,"199.89","208.27","198.61","207.83","188,362,797"
05/05/2026,"199.30","200.24","196.03","196.50","113,406,602"
05/04/2026,"199.50","201.73","194.74","198.48","125,368,094"
05/01/2026,"201.28","203.00","197.12","198.45","128,647,000"
04/30/2026,"209.93","210.30","198.70","199.57","225,239,203"
04/29/2026,"212.70","212.72","207.58","209.25","123,711,797"
04/28/2026,"209.49","214.73","208.20","213.17","180,275,391"
04/27/2026,"209.65","216.83","207.38","216.61","187,172,406"
04/24/2026,"199.96","210.95","199.81","208.27","214,134,406"
04/23/2026,"202.46","203.83","197.22","199.64","113,561,797"
04/22/2026,"200.99","202.50","199.00","202.50","107,501,000"
04/21/2026,"202.13","202.75","199.00","199.88","107,945,297"
04/20/2026,"199.98","202.17","197.84","202.06","119,381,398"
04/17/2026,"199.90","201.70","199.27","201.68","160,324,406"
04/16/2026,"197.43","199.85","195.81","198.35","134,012,891"
04/15/2026,"196.54","200.40","195.74","198.87","185,338,406"
04/14/2026,"190.84","196.51","190.77","196.51","161,307,016"
04/13/2026,"186.03","189.66","185.74","189.31","133,648,203"
04/10/2026,"184.31","190.00","184.30","188.63","160,459,500"
04/09/2026,"181.84","184.08","180.62","183.91","116,428,492"
04/08/2026,"184.50","185.26","180.30","182.08","147,732,703"
04/07/2026,"175.73","178.23","173.66","178.10","132,534,891"
04/06/2026,"177.16","177.79","175.76","177.64","107,564,305"
04/02/2026,"172.18","177.49","171.37","177.39","143,143,203"
04/01/2026,"176.00","177.37","174.75","175.75","168,132,000"
03/31/2026,"166.97","174.62","166.96","174.40","226,181,297"
03/30/2026,"168.78","169.45","164.27","165.17","185,627,016"
03/27/2026,"170.00","170.97","167.01","167.52","196,212,703"
03/26/2026,"176.07","176.51","171.14","171.24","186,152,188"
03/25/2026,"177.10","181.22","176.85","178.68","162,602,094"
03/24/2026,"174.83","176.22","173.98","175.20","147,667,812"
03/23/2026,"177.26","178.37","174.76","175.64","182,836,297"
03/20/2026,"178.00","178.26","171.72","172.70","241,323,500"
03/19/2026,"178.01","179.98","175.79","178.56","170,968,500"
03/18/2026,"182.48","183.38","180.33","180.40","156,683,109"
03/17/2026,"185.06","185.40","181.68","181.93","182,497,797"
03/16/2026,"182.97","188.88","181.41","183.22","217,307,391"
03/13/2026,"184.92","186.09","179.94","180.25","160,988,406"
03/12/2026,"184.05","184.94","181.75","183.14","155,762,703"
03/11/2026,"185.91","187.62","184.45","186.03","145,280,406"
03/10/2026,"182.40","186.44","182.01","184.77","179,118,500"
03/09/2026,"176.83","182.91","175.56","182.65","177,213,594"
03/06/2026,"179.84","182.76","176.82","177.82","189,021,906"
03/05/2026,"181.17","184.06","177.88","183.34","198,779,703"
03/04/2026,"180.44","184.70","180.06","183.04","177,731,203"
03/03/2026,"178.49","180.90","176.92","180.05","178,099,391"
03/02/2026,"175.01","183.46","174.64","182.48","209,095,297"
02/27/2026,"181.25","182.59","176.38","177.19","311,636,500"
02/26/2026,"194.27","194.29","184.32","184.89","360,807,906"
02/25/2026,"194.45","197.63","193.79","195.56","250,637,109"
02/24/2026,"191.49","193.77","187.40","192.85","175,123,594"
02/23/2026,"191.40","193.95","189.58","191.55","171,584,797"
02/20/2026,"186.57","190.33","185.94","189.82","178,422,297"
02/19/2026,"187.06","188.43","185.66","187.90","126,554,492"
02/18/2026,"188.75","190.37","186.76","187.98","164,749,109"
02/17/2026,"181.75","187.15","179.18","184.97","162,276,891"
02/13/2026,"187.48","187.50","181.59","182.81","161,888,000"
02/12/2026,"193.03","193.61","186.51","186.94","189,932,500"
02/11/2026,"192.45","193.26","188.77","190.05","144,192,703"
02/10/2026,"191.38","192.48","188.12","188.54","136,764,797"
02/09/2026,"184.26","193.66","183.95","190.04","196,387,391"
02/06/2026,"176.69","187.00","174.60","185.41","231,346,203"
02/05/2026,"174.93","176.82","171.03","171.88","206,312,891"
02/04/2026,"179.46","179.58","171.91","174.19","207,014,094"
02/03/2026,"186.24","186.27","176.23","180.34","204,019,594"
02/02/2026,"187.20","190.30","184.88","185.61","165,794,094"
01/30/2026,"191.21","194.49","189.47","191.13","179,489,500"
01/29/2026,"191.34","193.48","186.06","192.51","171,764,406"
01/28/2026,"191.27","192.35","189.84","191.52","148,552,703"
01/27/2026,"187.24","190.00","185.70","188.52","143,711,594"
01/26/2026,"187.16","189.12","185.99","186.47","124,799,602"
01/23/2026,"187.50","189.60","186.82","187.67","142,748,094"
01/22/2026,"184.75","186.17","183.93","184.84","139,636,609"
01/21/2026,"179.05","185.38","178.40","183.32","200,380,984"
01/20/2026,"181.90","182.38","177.61","178.07","223,345,297"
01/16/2026,"189.08","190.44","186.08","186.23","187,967,203"
01/15/2026,"186.50","189.70","186.33","187.05","206,188,609"
01/14/2026,"184.32","184.46","180.80","183.14","159,586,094"
01/13/2026,"185.00","188.11","183.40","185.81","160,128,891"
01/12/2026,"183.22","187.12","183.02","184.94","137,968,500"
01/09/2026,"185.08","186.34","183.67","184.86","131,327,500"
01/08/2026,"189.11","189.55","183.71","185.04","172,456,984"
01/07/2026,"188.57","191.37","186.56","189.11","153,543,203"
01/06/2026,"190.52","192.17","186.82","187.24","176,862,594"
01/05/2026,"191.76","193.63","186.15","188.12","183,529,703"
01/02/2026,"189.84","192.93","188.26","188.85","148,240,500"
12/31/2025,"189.57","190.56","186.49","186.50","120,100,492"
12/30/2025,"188.24","188.99","186.93","187.54","97,687,273"
12/29/2025,"187.71","188.76","185.91","188.22","120,006,094"
12/26/2025,"189.92","192.69","188.00","190.53","139,740,297"
12/24/2025,"187.94","188.91","186.59","188.61","65,528,551"
12/23/2025,"182.97","189.33","182.90","189.21","174,873,594"
12/22/2025,"183.92","184.16","182.35","183.69","129,064,398"
12/19/2025,"176.67","181.45","176.34","180.99","324,925,875"
12/18/2025,"174.53","176.15","171.82","174.14","176,096,000"
12/17/2025,"176.10","176.13","170.31","170.94","222,775,500"
12/16/2025,"176.26","178.49","174.90","177.72","148,588,094"
12/15/2025,"177.94","178.42","175.03","176.29","164,775,594"
12/12/2025,"181.11","182.82","174.62","175.02","204,274,891"
12/11/2025,"180.28","181.32","176.62","180.93","182,136,609"
12/10/2025,"184.97","185.48","182.04","183.78","162,785,406"
12/09/2025,"185.56","185.72","183.32","184.97","144,719,703"
12/08/2025,"182.64","188.00","182.40","185.55","204,378,094"
12/05/2025,"183.89","184.66","180.91","182.41","143,971,109"
12/04/2025,"181.62","184.52","179.96","183.38","167,364,891"
12/03/2025,"181.08","182.45","179.11","179.59","165,138,000"
12/02/2025,"181.76","185.66","180.00","181.46","182,632,188"
12/01/2025,"174.76","180.30","173.68","179.92","181,564,000"
